NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,,,,,,,,,,,,,
08-Mar-16,DISH Network,Brazoria,Gulf Coast WDA,550,07-May-16,08-Mar-16,Alvin,,,,,,,,,,,,,
08-Mar-16,CalFrac Well Services,Bexar,Alamo WDA,87,01-May-16,08-Mar-16,San Antonio,,,,,,,,,,,,,
07-Mar-16,"C&J Energy Services, Inc.",Nueces,Coastal Bend WDA,87,06-May-16,07-Mar-16,Robstown,,,,,,,,,,,,,
03-Mar-16,Invista-Victoria,Victoria,Golden Crescent WDA,50,02-May-16,03-Mar-16,Victoria,,,,,,,,,,,,,
02-Mar-16,"Standard Motor Products, Inc.",Tarrant,Tarrant County WDA,93,30-Apr-16,02-Mar-16,Grapevine,,,,,,,,,,,,,
29-Feb-16,Compass Group-Eurest,Harris,Gulf Coast WDA,55,26-Apr-16,29-Feb-16,Houston,,,,,,,,,,,,,
29-Feb-16,Bruce Foods,El Paso,Upper Rio Grande WDA,171,02-May-16,29-Feb-16,El Paso,,,,,,,,,,,,,
29-Feb-16,Forever 21 Retail Store #0716,Dallas,Dallas County WDA,68,30-Apr-16,29-Feb-16,Dallas,,,,,,,,,,,,,
26-Feb-16,Devon Energy Corporation-Bridgeport,Wise,North Central Texas WDA,,01-Jul-16,26-Feb-16,Bridgeport,,,,,,,,,,,,,
26-Feb-16,Devon Energy Corporation-Spring,Montgomery,Gulf Coast WDA,,01-Jul-16,26-Feb-16,Spring,,,,,,,,,,,,,
24-Feb-16,Investor's Business Dailey,Collin,North Central Texas WDA,14,29-Apr-16,24-Feb-16,Plano,,,,,,,,,,,,,
23-Feb-16,Luminant Mining Company-Monticello Winefield Mine,Titus,North East Texas WDA,27,29-Apr-16,23-Feb-16,Winfield,,,,,,,,,,,,,
23-Feb-16,Boeing Company,Harris,Gulf Coast WDA,15,22-Apr-16,23-Feb-16,Houston,,,,,,,,,,,,,
22-Feb-16,Luminant Mining Company-Monticello Themo Line,Hopkins,North East Texas WDA,26,29-Apr-16,22-Feb-16,Sulphur Springs,,,,,,,,,,,,,
22-Feb-16,Maersk Drilling USA,Harris,Gulf Coast WDA,35,22-Feb-16,22-Feb-16,Houston,,,,,,,,,,,,,
22-Feb-16,Luminant Mining Services Company,Titus,North East Texas WDA,27,29-Apr-16,22-Feb-16,Mt Pleasant,,,,,,,,,,,,,
19-Feb-16,"Cobalt International Energy, Inc.",Harris,Gulf Coast WDA,50,30-Apr-16,19-Feb-16,Houston,,,,,,,,,,,,,
16-Feb-16,Alcoa World Alumina,Calhoun,Golden Crescent WDA,175,26-Mar-16,16-Feb-16,Point Comfort,,,,,,,,,,,,,
10-Feb-16,Pioneer Natural Resources Pumping Services- Victoria,Victoria,Golden Crescent WDA,148,11-Apr-16,10-Feb-16,Victoria,,,,,,,,,,,,,
09-Feb-16,Transocean Offshore Deepwater Drilling-Deep Water Champion,Harris,Gulf Coast WDA,40,17-Feb-16,09-Feb-16,Houston,,,,,,,,,,,,,
09-Feb-16,IPSCO Koppel Tubulars Corporation,Chambers,Gulf Coast WDA,112,06-Apr-16,09-Feb-16,Baytown,,,,,,,,,,,,,
08-Feb-16,Transocean Offshore Deepwater Drilling-Discoverer Deep Seas,Harris,Gulf Coast WDA,140,10-Feb-16,08-Feb-16,Houston,,,,,,,,,,,,,
02-Feb-16,C&J Energy Services Inc.,Atascosa,Alamo WDA,78,04-Apr-16,02-Feb-16,Pleasanton,,,,,,,,,,,,,
02-Feb-16,Boeing Company,Harris,Gulf Coast WDA,1,01-Apr-16,02-Feb-16,Houston,,,,,,,,,,,,,
01-Feb-16,Sunoco LP - Stripes LLC,Nueces,Gulf Coast WDA,161,01-Apr-16,01-Feb-16,Corpus Ch,,,,,,,,,,,,,
01-Feb-16,ThermoFisher Scientific-Houston,Harris,Gulf Coast WDA,62,01-Apr-16,01-Feb-16,Houston,,,,,,,,,,,,,
29-Jan-16,Maxim Integrated Products-Lone Star Office,Dallas,Dallas County WDA,36,25-Mar-16,29-Jan-16,Dallas,,,,,,,,,,,,,
29-Jan-16,National Oilwell Varco-Air Center Blvd.,Harris,Gulf Coast WDA,129,31-May-16,29-Jan-16,Houston,,,,,,,,,,,,,
27-Jan-16,Boeing Company,Harris,Gulf Coast WDA,2,25-Mar-16,27-Jan-16,Houston,,,,,,,,,,,,,
26-Jan-16,Quicksilver Resources Inc.-Eagle Pkwy,Denton,Tarrant County WDA,11,01-Apr-16,26-Jan-16,Ft. Worth,,,,,,,,,,,,,
26-Jan-16,Maersk Drilling USA,Harris,Gulf Coast WDA,80,25-Jan-16,26-Jan-16,Houston,,,,,,,,,,,,,
26-Jan-16,Quicksilver Resources Inc. - Glen Rose,Somervell,North Central Texas WDA,48,01-Apr-16,26-Jan-16,Glen Rose,,,,,,,,,,,,,
26-Jan-16,Quicksilver Resources Inc.,Tarrant,Tarrant County WDA,105,01-Apr-16,26-Jan-16,Ft. Worth,,,,,,,,,,,,,
26-Jan-16,"Schenker, Inc.",El Paso,Upper Rio Grande WDA,29,31-Mar-16,26-Jan-16,El Paso,,,,,,,,,,,,,
25-Jan-16,Tenaris dba Texas ARAI-Maverick Tube Corp.,Fort Bend,Gulf Coast WDA,166,31-Mar-16,25-Jan-16,Houston,,,,,,,,,,,,,
22-Jan-16,Sprint-Temple,Bell,Central Texas WDA,375,22-Jan-16,22-Jan-16,Temple,,,,,,,,,,,,,
21-Jan-16,Southwestern Energy Co.,Harris,Gulf Coast WDA,376,22-Mar-16,21-Jan-16,Spring,,,,,,,,,,,,,
19-Jan-16,TD Bank-Auto Finance Dallas Contact Center,Tarrant,Tarrant County WDA,290,01-Apr-16,19-Jan-16,Westlake,,,,,,,,,,,,,
15-Jan-16,Walmart-Brownsville,Cameron,Cameron County WDA,276,15-Apr-16,15-Jan-16,Brownsville,,,,,,,,,,,,,
15-Jan-16,Walmart-Austin,Travis,Capital Area WDA,201,15-Apr-16,15-Jan-16,Austin,,,,,,,,,,,,,
15-Jan-16,Walmart-Bryan,Brazos,Brazos Valley WDA,82,15-Apr-16,15-Jan-16,Bryan,,,,,,,,,,,,,
15-Jan-16,Walmart-Dallas,Dallas,Dallas County WDA,72,15-Apr-16,15-Jan-16,Dallas,,,,,,,,,,,,,
15-Jan-16,Walmart-Frisco,Collin,North Central Texas WDA,62,15-Apr-16,15-Jan-16,Frisco,,,,,,,,,,,,,
15-Jan-16,Walmart-Houston2,Harris,Gulf Coast WDA,353,15-Apr-16,15-Jan-16,Houston,,,,,,,,,,,,,
15-Jan-16,Walmart-Houston,Harris,Gulf Coast WDA,87,15-Apr-16,15-Jan-16,Houston,,,,,,,,,,,,,
14-Jan-16,SERCO-Upper Rio Broderplex,El Paso,Upper Rio Grande WDA,91,31-Mar-16,14-Jan-16,El Paso,,,,,,,,,,,,,
14-Jan-16,Residential Credit Solutions,Tarrant,Tarrant County WDA,134,29-Feb-16,14-Jan-16,Ft. Worth,,,,,,,,,,,,,
13-Jan-16,Noble Drilling (US) LLC - Noble Jim Day Rig,Fort Bend,Gulf Coast WDA,120,14-Mar-16,13-Jan-16,Sugar Land,,,,,,,,,,,,,
12-Jan-16,CCS Medical Inc.,Dallas,Dallas County WDA,83,11-Mar-16,12-Jan-16,Farmers Branch,,,,,,,,,,,,,
11-Jan-16,US Steel Tubular Products- Lone Star,Morris,North East Texas WDA,679,16-Mar-16,11-Jan-16,Lone Star,,,,,,,,,,,,,
06-Jan-16,Macy's-Ridgmar,Tarrant,Tarrant County WDA,92,14-Mar-16,06-Jan-16,Ft. Worth,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1/27/15,US Steel Tubular Products- Lone Star,Morris,North East Texas WDA,318,2/1/15,27-Jan-15,Lone Star,,,,,,,,,,,,,
1/20/15,Laredo Petroleum,Dallas,Dallas County WDA,36,1/20/15,1/20/15,Farmers Branch,,,,,,,,,,,,,
1/20/15,Boeing Company,Harris,Gulf Coast WDA,3,3/20/15,20-Jan-15,Houston,,,,,,,,,,,,,
1/15/15,Engineered Polymer Solutions-Garland2,Dallas,Dallas County WDA,23,5/22/15,1/15/15,Garland,,,,,,,,,,,,,
1/15/15,PCI Manufacturing LLC,Hopkins,North East Texas WDA,0,1/15/15,1/15/15,Sulphur Springs,,,,,,,,,,,,,
1/15/15,Engineered Polymer Solutions-Garland,Dallas,Dallas County WDA,31,3/17/15,1/15/15,Garland,,,,,,,,,,,,,
1/14/15,Sendero Drilling,Tom Green,Concho Valley WDA,30,9/1/15,1/14/15,San Angelo,,,,,,,,,,,,,
1/6/15,US Steel Tubular Products - Houston2,Harris,Gulf Coast WDA,142,3/8/15,1/6/15,Houston,,,,,,,,,,,,,
1/5/15,HighMount Exploration & Production LLC,Harris,Gulf Coast WDA,11,12/1/14,1/5/15,Houston,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
